path,type,size_bytes,category,runtime_owner,referenced_by_laravel,referenced_by_railway,contains_model_asset,contains_sensitive_data,archive_action,cleanup_action,evidence
".agent-skills","directory",342,"ARCHIVE_THEN_REMOVE","legacy agent tooling","false","false","false","false","copy preserving path","git rm explicit path","Single tracked shell helper; absent from Laravel manifests and Railway root /wattwise-laravel."
".cursor","directory",812,"ARCHIVE_THEN_REMOVE","legacy editor tooling","false","false","false","false","copy preserving path","git rm explicit path","Single tracked Cursor rule for the legacy stack; not used by Laravel or Railway."
".env.example","file",618,"ARCHIVE_THEN_REMOVE","legacy Next.js runtime","false","false","false","false","copy after placeholder audit","git rm explicit path","Contains only reviewed placeholders/local or non-secret public defaults for NextAuth/Prisma/Ads; Laravel owns wattwise-laravel/.env.example."
".eslintrc.json","file",40,"ARCHIVE_THEN_REMOVE","legacy Next.js runtime","false","false","false","false","copy preserving path","git rm explicit path","Root ESLint configuration belongs to Next.js; Laravel uses wattwise-laravel/eslint.config.js."
".gitignore","file",674,"KEEP_ACTIVE","active repository Git configuration","true","true","false","false","not archived","retain unchanged","Active repository ignore policy; explicitly allowed active Git metadata."
"ML","directory",570155,"ARCHIVE_THEN_REMOVE","legacy ML research workspace","false","false","true","false","copy preserving path and checksum every file","git rm explicit path after archive verification","Tracked models, exports, metadata, scripts, and benchmark outputs are research-only; Laravel PredictionService is deterministic and deployment detects PHP/Laravel only."
"README.md","file",14268,"KEEP_ACTIVE","active repository documentation","true","true","false","false","not archived","update active-root contract","Public repository entry point; must describe Laravel root and preserved history without naming the private archive."
"docs","directory",1397393,"KEEP_ACTIVE","active product, launch, QA, and migration documentation","true","false","false","false","not archived","retain and add IT-ARCH-01 records","Documentation is intentionally retained; legacy references are explanatory rather than runtime dependencies."
"next.config.mjs","file",895,"ARCHIVE_THEN_REMOVE","legacy Next.js runtime","false","false","false","false","copy preserving path","git rm explicit path","Root Next.js config is not read by Vite, Composer, Railpack, or Railway root /wattwise-laravel."
"package-lock.json","file",258765,"ARCHIVE_THEN_REMOVE","legacy Next.js runtime","false","false","false","false","copy preserving path","git rm explicit path","Locks the root Next.js/Prisma package; Laravel has an independent wattwise-laravel/package-lock.json."
"package.json","file",2273,"ARCHIVE_THEN_REMOVE","legacy Next.js runtime","false","false","false","false","copy preserving path","git rm explicit path","Scripts invoke next/prisma and legacy ML tests; Laravel has an independent package manifest and build."
"postcss.config.js","file",83,"ARCHIVE_THEN_REMOVE","legacy Next.js frontend","false","false","false","false","copy preserving path","git rm explicit path","Root PostCSS config belongs to legacy Next.js; Laravel owns wattwise-laravel/postcss.config.js."
"prisma","directory",81705,"ARCHIVE_THEN_REMOVE","legacy Prisma database implementation","false","false","false","false","copy preserving path","git rm explicit path","Laravel uses Eloquent migrations under wattwise-laravel/database; no Laravel or Railway reference to root Prisma."
"scripts","directory",76421,"ARCHIVE_THEN_REMOVE","legacy Next.js and ML utility workspace","false","false","true","false","copy preserving path","git rm explicit path","Root npm scripts import legacy src/ and Prisma; Laravel owns wattwise-laravel/scripts."
"src","directory",1241368,"ARCHIVE_THEN_REMOVE","legacy Next.js/TypeScript application","false","false","true","false","copy preserving path","git rm explicit path","Next.js routes, Prisma services, and embedded model inference are isolated from wattwise-laravel and Railway root /wattwise-laravel."
"tailwind.config.ts","file",827,"ARCHIVE_THEN_REMOVE","legacy Next.js frontend","false","false","false","false","copy preserving path","git rm explicit path","Root Tailwind 3 config belongs to legacy Next.js; Laravel uses Tailwind 4 through its Vite setup."
"tsconfig.json","file",628,"ARCHIVE_THEN_REMOVE","legacy Next.js/TypeScript application","false","false","false","false","copy preserving path","git rm explicit path","Root TypeScript configuration scopes legacy src/scripts; Laravel owns wattwise-laravel/tsconfig.json."
"wattwise-laravel","directory",2806440,"KEEP_ACTIVE","active Laravel/Vue application","true","true","false","false","not archived","retain unchanged","Railway deployment cad16f68 reports rootDirectory=/wattwise-laravel and PHP Laravel detection; active Composer/npm manifests are self-contained."
